Name,US dollar
29/11/2013,1253
31/12/2013,1204.5
31/1/2014,1251
28/2/2014,1326.5
31/3/2014,1291.75
30/4/2014,1288.5
30/5/2014,1250.5
30/6/2014,1315
31/7/2014,1285.25
29/8/2014,1285.75
30/9/2014,1216.5
31/10/2014,1164.25
28/11/2014,1182.75
31/12/2014,1206
30/1/2015,1260.25
27/2/2015,1214
31/3/2015,1187
30/4/2015,1180.25
29/5/2015,1191.4
30/6/2015,1171
31/7/2015,1098.4
31/8/2015,1135
30/9/2015,1114
30/10/2015,1142.35
30/11/2015,1061.9
31/12/2015,1060
29/1/2016,1111.8
29/2/2016,1234.9
31/3/2016,1237
29/4/2016,1285.65
31/5/2016,1212.1
30/6/2016,1320.75
29/7/2016,1342
31/8/2016,1309.25
30/9/2016,1322.5
31/10/2016,1272
30/11/2016,1178.1
30/12/2016,1145.9
31/1/2017,1212.8
28/2/2017,1255.6
31/3/2017,1244.85
28/4/2017,1266.45
31/5/2017,1266.2
30/6/2017,1242.25
31/7/2017,1267.55
31/8/2017,1311.75
29/9/2017,1283.1
31/10/2017,1270.15
30/11/2017,1280.2
29/12/2017,1291
31/1/2018,1345.05
28/2/2018,1317.85
30/3/2018,1323.85
30/4/2018,1313.2
31/5/2018,1305.35
29/6/2018,1250.45
31/7/2018,1220.95
31/8/2018,1202.45
28/9/2018,1187.25
31/10/2018,1214.95
30/11/2018,1217.55
31/12/2018,1279
31/1/2019,1323.25
28/2/2019,1319.15
29/3/2019,1295.4
30/4/2019,1282.3
31/5/2019,1295.55
28/6/2019,1409
31/7/2019,1427.55
30/8/2019,1528.4
30/9/2019,1485.3
31/10/2019,1510.95
29/11/2019,1460.15
31/12/2019,1514.75
31/1/2020,1584.2
28/2/2020,1609.85
31/3/2020,1608.95
30/4/2020,1702.75
